Id,SalePrice
1461,130845.60070035141
1462,156698.4638089717
1463,175446.5591400573
1464,206330.04939846578
1465,211020.41393811605
1466,191673.9993396916
1467,192437.17401037924
1468,178409.86399563355
1469,213362.08049023268
1470,100645.291172005
1471,201714.1136773026
1472,117966.21704793
1473,88075.63359233737
1474,150426.945796306
1475,136500.58267389867
1476,330509.0243785479
1477,249103.7486761338
1478,287423.14422997157
1479,277374.3267765872
1480,379356.3718399138
1481,290966.94969410123
1482,231305.76413588086
1483,191040.79978932696
1484,188623.71525863255
1485,198781.16622008174
1486,222977.93080616463
1487,300133.18588800053
1488,264695.67936214735
1489,201521.9743700612
1490,226278.97955898615
1491,221042.64361576596
1492,101769.46983409557
1493,214370.1885056952
1494,272778.2046036348
1495,262882.2181245298
1496,219755.7582471189
1497,185409.9676557053
1498,158866.6836204715
1499,158908.6434424601
1500,141420.4555878637
1501,161153.2284075925
1502,149410.0984757885
1503,273567.1194766485
1504,252839.92525365762
1505,227632.7816076954
1506,199364.26084133028
1507,247814.80558346445
1508,206058.27854280174
1509,161058.16200452135
1510,131921.7806764848
1511,133628.0783951981
1512,171858.05966627877
1513,179863.87537257047
1514,138168.43583125016
1515,228493.11790619348
1516,166128.3671379052
1517,173497.3907939971
1518,129846.49797928263
1519,227817.77475364157
1520,121186.11793554667
1521,127288.738985301
1522,191231.03964755917
1523,95662.03546007257
1524,124149.20797862182
1525,110332.45688327984
1526,92743.26223295927
1527,83871.25223615859
1528,157830.20034851017
1529,126833.72606280167
1530,236349.80965185817
1531,128571.90604561288
1532,105283.89349491894
1533,142940.84073657333
1534,140337.81958685443
1535,164368.30025225366
1536,110334.04895909922
1537,18274.11451287428
1538,195384.51002367493
1539,225935.94623565953
1540,123752.64165147115
1541,151684.40817412734
1542,147257.8997341108
1543,211670.52654496254
1544,68527.7077683357
1545,131557.82879492058
1546,132988.14836546546
1547,145998.71431249217
1548,152715.89573935745
1549,116996.71765109431
1550,113090.76344861626
1551,126064.42275604163
1552,128824.1894929912
1553,173325.86000995105
1554,131151.42133183242
1555,181790.38695113384
1556,84358.38420608384
1557,84074.24750104407
1558,97460.69729131856
1559,77365.8505585168
1560,111648.03910755552
1561,123257.91793423891
1562,116898.44728431036
1563,116665.03976622038
1564,142900.03072315897
1565,137660.2148005583
1566,254694.0512587896
1567,54307.13222407526
1568,210466.5609453395
1569,96272.4272928948
1570,150660.0197483073
1571,121879.6823269371
1572,139002.4853760393
1573,253905.4271854842
1574,122513.35772031685
1575,241443.9444871992
1576,228845.9220177082
1577,211122.54127960606
1578,136803.02624916844
1579,128482.33162241708
1580,217361.90840675798
1581,150099.57993032946
1582,109514.08556818962
1583,289595.2525128424
1584,246565.3379177882
1585,149925.33445360023
1586,54528.269731662
1587,115387.92496670061
1588,148064.08148792922
1589,101904.47193968436
1590,141427.2753797141
1591,81722.18372164154
1592,131449.287031685
1593,128796.70088936482
1594,147229.32263124408
1595,120929.38396706502
1596,216951.906397745
1597,160205.80031930492
1598,207530.07206415734
1599,202306.3347891227
1600,200223.84104149463
1601,20519.83925777953
1602,129473.78314148192
